year,Total defaults,Investment-grade defaults,Speculative-grade defaults,Default rate,Investment-grade default rate,Speculative-grade default rate
1981,2,0,2,0.15,0,0.63
1982,18,2,15,1.22,0.19,4.46
1983,12,1,10,0.77,0.09,2.96
1984,14,2,12,0.93,0.17,3.29
1985,19,0,18,1.12,0,4.34
1986,34,2,30,1.73,0.15,5.73
1987,19,0,19,0.94,0,2.82
1988,32,0,29,1.38,0,3.88
1989,44,3,35,1.77,0.21,4.7
1990,70,2,56,2.71,0.14,8.1
1991,93,2,65,3.22,0.13,11.02
1992,39,0,32,1.49,0,6.1
1993,26,0,14,0.6,0,2.5
1994,21,1,15,0.62,0.05,2.12
1995,35,1,29,1.05,0.05,3.54
1996,20,0,16,0.51,0,1.81
1997,23,2,20,0.63,0.08,2.01
1998,57,4,49,1.3,0.14,3.75
1999,110,5,93,2.16,0.17,5.63
2000,136,7,109,2.46,0.24,6.21
2001,230,7,172,3.7,0.23,9.7
2002,226,13,159,3.52,0.41,9.35
2003,120,3,89,1.88,0.1,4.97
2004,56,1,38,0.77,0.03,2.02
2005,40,1,31,0.6,0.03,1.5
2006,30,0,26,0.47,0,1.18
2007,24,0,21,0.37,0,0.91
2008,127,14,89,1.79,0.42,3.71
2009,268,11,223,4.15,0.33,9.89
2010,83,0,64,1.2,0,3.02
2011,53,1,44,0.8,0.03,1.85
2012,83,0,66,1.13,0,2.59
2013,81,0,62,1.02,0,2.23
2014,60,0,45,0.69,0,1.44
2015,113,0,94,1.36,0,2.77
2016,163,1,143,2.08,0.03,4.23
2017,95,0,83,1.21,0,2.47
2018,82,0,71,1.02,0,2.07
2019,118,2,92,1.31,0.06,2.55
2020,225,0,198,2.76,0,5.54
2021,72,0,60,0.85,0,1.68
2022,85,0,71,0.99,0,1.94
2023,153,2,128,1.86,0.06,3.71
2024,145,1,129,1.91,0.03,3.94
