Date,NGG25,NGH25,NGJ25,NGK25,NGM25,NGN25,NGQ25,NGU25,NGV25,NGX25,NGZ25,NGF26,NGG26,NGH26,NGJ26,NGK26,NGM26,NGN26,NGQ26,NGU26,NGV26,NGX26,NGZ26,NGF27,NGG27,NGH27,NGJ27,NGK27,NGM27,NGN27,NGQ27,NGU27,NGV27,NGX27,NGZ27,NGF28,NGG28,NGH28,NGJ28,NGK28,NGM28,NGN28,NGQ28,NGU28,NGV28,NGX28,NGZ28,NGF29,NGG29,NGH29,NGJ29,NGK29,NGM29,NGN29,NGQ29,NGU29,NGV29,NGX29,NGZ29
2024-12-31,3.633,3.098,3.07,3.157,3.335,3.522,3.56,3.542,3.619,3.906,4.364,4.656,4.343,3.777,3.437,3.468,3.602,3.744,3.777,3.748,3.815,4.055,4.458,4.765,4.454,3.763,3.317,3.342,3.487,3.637,3.667,3.642,3.702,3.962,4.356,4.619,4.395,3.723,3.218,3.226,3.346,3.485,3.531,3.521,3.598,3.836,4.246,4.488,4.206,3.517,3.043,3.064,3.207,3.361,3.411,3.39,3.469,3.713,4.143
2024-11-30,3.204,2.943,2.907,3.005,3.158,3.319,3.365,3.349,3.433,3.707,4.144,4.411,4.187,3.707,3.366,3.386,3.502,3.633,3.67,3.642,3.713,3.932,4.306,4.552,4.331,3.774,3.339,3.356,3.469,3.595,3.636,3.611,3.689,3.936,4.32,4.534,4.339,3.735,3.27,3.27,3.388,3.509,3.572,3.539,3.61,3.824,4.231,4.45,4.219,3.554,3.037,3.056,3.211,3.382,3.43,3.409,3.492,3.746,4.159
2024-10-31,2.888,2.674,2.632,2.717,2.876,3.042,3.081,3.057,3.133,3.417,3.839,4.081,3.884,3.453,3.162,3.187,3.329,3.478,3.515,3.487,3.554,3.823,4.224,4.452,4.225,3.617,3.197,3.211,3.336,3.471,3.508,3.496,3.58,3.865,4.26,4.474,4.257,3.592,3.064,3.081,3.236,3.401,3.421,3.386,3.439,3.702,4.1,4.321,4.075,3.416,2.936,2.957,3.114,3.293,3.34,3.319,3.398,3.661,4.061
2024-09-30,3.484,3.184,3.028,3.061,3.193,3.335,3.359,3.337,3.412,3.646,4.004,4.232,4.02,3.53,3.224,3.248,3.365,3.498,3.526,3.507,3.576,3.826,4.195,4.421,4.191,3.604,3.196,3.212,3.334,3.465,3.508,3.493,3.568,3.828,4.213,4.439,4.202,3.541,3.02,3.062,3.213,3.374,3.409,3.374,3.431,3.683,4.075,4.291,4.048,3.383,2.898,2.925,3.084,3.264,3.312,3.291,3.372,3.636,4.037
2024-08-31,3.202,2.889,2.768,2.824,2.979,3.143,3.178,3.15,3.22,3.49,3.892,4.157,3.936,3.417,3.092,3.125,3.271,3.426,3.463,3.434,3.491,3.759,4.154,4.414,4.175,3.578,3.13,3.149,3.287,3.436,3.475,3.449,3.534,3.809,4.215,4.464,4.23,3.557,3.066,3.081,3.222,3.391,3.431,3.395,3.451,3.707,4.111,4.369,4.124,3.439,2.965,2.999,3.189,3.379,3.423,3.392,3.465,3.735,4.147
2024-07-31,3.329,2.975,2.809,2.851,3.006,3.174,3.211,3.177,3.239,3.525,3.939,4.214,3.989,3.453,3.092,3.123,3.27,3.436,3.469,3.429,3.493,3.77,4.184,4.475,4.237,3.584,3.116,3.144,3.289,3.449,3.488,3.452,3.516,3.82,4.238,4.513,4.236,3.503,2.998,3.022,3.19,3.378,3.422,3.38,3.445,3.714,4.153,4.433,4.168,3.458,2.978,3.006,3.184,3.378,3.415,3.385,3.455,3.745,4.17
2024-06-30,3.662,3.254,3.021,3.047,3.212,3.418,3.455,3.418,3.486,3.786,4.228,4.493,4.245,3.678,3.29,3.303,3.463,3.675,3.694,3.659,3.726,4.008,4.438,4.716,4.44,3.818,3.308,3.319,3.477,3.637,3.66,3.629,3.698,3.982,4.406,4.671,4.401,3.756,3.236,3.256,3.416,3.586,3.613,3.574,3.646,3.936,4.381,4.666,4.396,3.672,3.102,3.127,3.285,3.472,3.493,3.459,3.53,3.828,4.267
2024-05-31,3.654,3.253,3.018,3.048,3.228,3.423,3.446,3.41,3.49,3.789,4.205,4.467,4.231,3.687,3.318,3.343,3.517,3.703,3.728,3.688,3.756,4.077,4.515,4.777,4.562,3.923,3.384,3.401,3.556,3.718,3.75,3.711,3.779,4.085,4.515,4.78,4.542,3.836,3.271,3.303,3.487,3.677,3.711,3.677,3.739,4.047,4.488,4.748,4.52,3.846,3.32,3.342,3.507,3.682,3.722,3.681,3.738,4.059,4.502
2024-04-30,3.623,3.243,3.035,3.092,3.276,3.469,3.512,3.48,3.542,3.883,4.35,4.608,4.39,3.841,3.47,3.514,3.69,3.874,3.915,3.886,3.941,4.274,4.742,5.015,4.787,4.087,3.557,3.553,3.706,3.872,3.887,3.851,3.9,4.23,4.686,4.957,4.722,4.007,3.434,3.468,3.648,3.832,3.853,3.817,3.858,4.174,4.623,4.899,4.668,3.962,3.397,3.421,3.593,3.764,3.81,3.774,3.837,4.162,4.611
2024-03-31,3.551,3.2,3.008,3.07,3.241,3.417,3.459,3.418,3.467,3.787,4.202,4.439,4.226,3.696,3.315,3.314,3.477,3.649,3.685,3.646,3.704,3.994,4.408,4.67,4.463,3.82,3.33,3.32,3.478,3.645,3.668,3.613,3.658,3.975,4.394,4.634,4.418,3.774,3.276,3.271,3.411,3.556,3.574,3.524,3.578,3.893,4.326,4.541,4.34,3.67,3.119,3.113,3.262,3.42,3.468,3.434,3.498,3.845,4.287
