Date,SPcompP,Dividends,Earnings,CPI,GS10,Realprice,Realdividend, RealTotReturnPrice ,RealEarnings, RealTRScaledEarnings ,,,,,,,,,,,,,,
1871.01,4.44,0.26,0.40,12.46,5.32,112.34,6.58, 112.34 ,10.12, 10.12 ,,,,,,,,,,,,,,
1871.02,4.50,0.26,0.40,12.84,5.32,110.49,6.38, 111.02 ,9.82, 9.87 ,,,,,,,,,,,,,,
1871.03,4.61,0.26,0.40,13.03,5.33,111.53,6.29, 112.60 ,9.68, 9.77 ,,,,,,,,,,,,,,
1871.04,4.74,0.26,0.40,12.56,5.33,119.02,6.53, 120.71 ,10.04, 10.19 ,,,,,,,,,,,,,,
1871.05,4.86,0.26,0.40,12.27,5.33,124.87,6.68, 127.21 ,10.28, 10.47 ,,,,,,,,,,,,,,
1871.06,4.82,0.26,0.40,12.08,5.34,125.80,6.79, 128.72 ,10.44, 10.68 ,,,,,,,,,,,,,,
1871.07,4.73,0.26,0.40,12.08,5.34,123.45,6.79, 126.90 ,10.44, 10.73 ,,,,,,,,,,,,,,
1871.08,4.79,0.26,0.40,11.89,5.34,127.01,6.89, 131.15 ,10.61, 10.95 ,,,,,,,,,,,,,,
1871.09,4.84,0.26,0.40,12.18,5.35,125.33,6.73, 130.00 ,10.36, 10.74 ,,,,,,,,,,,,,,
1871.1,4.59,0.26,0.40,12.37,5.35,117.03,6.63, 121.96 ,10.20, 10.63 ,,,,,,,,,,,,,,
1871.11,4.64,0.26,0.40,12.37,5.35,118.30,6.63, 123.86 ,10.20, 10.68 ,,,,,,,,,,,,,,
1871.12,4.74,0.26,0.40,12.65,5.36,118.13,6.48, 124.24 ,9.97, 10.48 ,,,,,,,,,,,,,,
1872.01,4.86,0.26,0.40,12.65,5.36,121.12,6.56, 127.96 ,10.03, 10.60 ,,,,,,,,,,,,,,
1872.02,4.88,0.27,0.41,12.65,5.38,121.62,6.65, 129.07 ,10.09, 10.71 ,,,,,,,,,,,,,,
1872.03,5.04,0.27,0.41,12.84,5.40,123.74,6.63, 131.92 ,10.01, 10.67 ,,,,,,,,,,,,,,
1872.04,5.18,0.27,0.41,13.13,5.42,124.42,6.56, 133.22 ,9.85, 10.54 ,,,,,,,,,,,,,,
1872.05,5.18,0.28,0.41,13.13,5.43,124.42,6.65, 133.81 ,9.91, 10.66 ,,,,,,,,,,,,,,
1872.06,5.13,0.28,0.42,13.03,5.45,124.11,6.77, 134.09 ,10.04, 10.85 ,,,,,,,,,,,,,,
1872.07,5.10,0.28,0.42,12.84,5.47,125.22,6.96, 135.91 ,10.25, 11.13 ,,,,,,,,,,,,,,
1872.08,5.04,0.29,0.42,12.94,5.49,122.83,6.99, 133.96 ,10.24, 11.16 ,,,,,,,,,,,,,,
1872.09,4.95,0.29,0.42,13.03,5.51,119.76,7.02, 131.24 ,10.22, 11.20 ,,,,,,,,,,,,,,
1872.1,4.97,0.29,0.43,12.75,5.53,122.94,7.25, 135.38 ,10.51, 11.58 ,,,,,,,,,,,,,,
1872.11,4.95,0.30,0.43,13.13,5.54,118.89,7.13, 131.58 ,10.27, 11.36 ,,,,,,,,,,,,,,
1872.12,5.07,0.30,0.43,12.94,5.56,123.56,7.31, 137.43 ,10.48, 11.66 ,,,,,,,,,,,,,,
1873.01,5.11,0.30,0.43,12.94,5.58,124.54,7.37, 139.20 ,10.54, 11.78 ,,,,,,,,,,,,,,
1873.02,5.15,0.31,0.44,13.23,5.57,122.81,7.27, 137.94 ,10.37, 11.65 ,,,,,,,,,,,,,,
1873.03,5.11,0.31,0.44,13.23,5.56,121.85,7.33, 137.55 ,10.43, 11.78 ,,,,,,,,,,,,,,
1873.04,5.04,0.31,0.44,13.23,5.55,120.18,7.39, 136.36 ,10.49, 11.90 ,,,,,,,,,,,,,,
1873.05,5.05,0.31,0.44,12.94,5.54,123.08,7.62, 140.37 ,10.78, 12.30 ,,,,,,,,,,,,,,
1873.06,4.98,0.32,0.45,12.56,5.53,125.05,7.91, 143.37 ,11.17, 12.81 ,,,,,,,,,,,,,,
1873.07,4.97,0.32,0.45,12.56,5.53,124.80,7.97, 143.84 ,11.24, 12.95 ,,,,,,,,,,,,,,
1873.08,4.97,0.32,0.45,12.56,5.52,124.80,8.04, 144.61 ,11.30, 13.09 ,,,,,,,,,,,,,,
1873.09,4.59,0.32,0.45,12.56,5.51,115.26,8.10, 134.34 ,11.36, 13.24 ,,,,,,,,,,,,,,
1873.1,4.19,0.33,0.46,12.27,5.50,107.66,8.35, 126.30 ,11.69, 13.71 ,,,,,,,,,,,,,,
1873.11,4.04,0.33,0.46,11.89,5.49,107.13,8.68, 126.52 ,12.13, 14.33 ,,,,,,,,,,,,,,
1873.12,4.42,0.33,0.46,12.18,5.48,114.46,8.55, 136.02 ,11.91, 14.16 ,,,,,,,,,,,,,,
1874.01,4.66,0.33,0.46,12.37,5.47,118.81,8.41, 142.03 ,11.73, 14.02 ,,,,,,,,,,,,,,
1874.02,4.80,0.33,0.46,12.37,5.44,122.38,8.41, 147.14 ,11.73, 14.10 ,,,,,,,,,,,,,,
1874.03,4.73,0.33,0.46,12.37,5.40,120.60,8.41, 145.83 ,11.73, 14.18 ,,,,,,,,,,,,,,
1874.04,4.60,0.33,0.46,12.18,5.37,119.12,8.55, 144.90 ,11.91, 14.49 ,,,,,,,,,,,,,,
1874.05,4.48,0.33,0.46,12.08,5.34,116.92,8.61, 143.11 ,12.01, 14.69 ,,,,,,,,,,,,,,
1874.06,4.46,0.33,0.46,11.80,5.30,119.22,8.82, 146.81 ,12.30, 15.14 ,,,,,,,,,,,,,,
1874.07,4.46,0.33,0.46,11.89,5.27,118.26,8.75, 146.54 ,12.20, 15.11 ,,,,,,,,,,,,,,
1874.08,4.47,0.33,0.46,11.80,5.24,119.48,8.82, 148.96 ,12.30, 15.33 ,,,,,,,,,,,,,,
1874.09,4.54,0.33,0.46,11.80,5.20,121.36,8.82, 152.21 ,12.30, 15.42 ,,,,,,,,,,,,,,
1874.1,4.53,0.33,0.46,11.61,5.17,123.07,8.97, 155.30 ,12.50, 15.77 ,,,,,,,,,,,,,,
1874.11,4.57,0.33,0.46,11.51,5.14,125.19,9.04, 158.92 ,12.60, 16.00 ,,,,,,,,,,,,,,
1874.12,4.54,0.33,0.46,11.51,5.10,124.36,9.04, 158.83 ,12.60, 16.09 ,,,,,,,,,,,,,,
1875.01,4.54,0.33,0.45,11.51,5.07,124.36,8.97, 159.79 ,12.37, 15.90 ,,,,,,,,,,,,,,
1875.02,4.53,0.33,0.44,11.51,5.03,124.09,8.90, 160.39 ,12.14, 15.70 ,,,,,,,,,,,,,,
1875.03,4.59,0.32,0.44,11.51,4.99,125.73,8.83, 163.46 ,11.92, 15.49 ,,,,,,,,,,,,,,
1875.04,4.65,0.32,0.43,11.61,4.95,126.33,8.69, 165.18 ,11.59, 15.16 ,,,,,,,,,,,,,,
1875.05,4.47,0.32,0.42,11.32,4.91,124.50,8.84, 163.76 ,11.65, 15.32 ,,,,,,,,,,,,,,
1875.06,4.38,0.32,0.41,11.13,4.87,124.08,8.92, 164.18 ,11.62, 15.37 ,,,,,,,,,,,,,,
1875.07,4.39,0.31,0.40,11.13,4.83,124.37,8.85, 165.53 ,11.38, 15.15 ,,,,,,,,,,,,,,
1875.08,4.41,0.31,0.39,11.23,4.79,123.87,8.71, 165.84 ,11.05, 14.79 ,,,,,,,,,,,,,,
1875.09,4.37,0.31,0.39,11.13,4.75,123.80,8.71, 166.71 ,10.91, 14.69 ,,,,,,,,,,,,,,
1875.1,4.30,0.31,0.38,11.13,4.71,121.82,8.64, 165.01 ,10.67, 14.46 ,,,,,,,,,,,,,,
1875.11,4.37,0.30,0.37,11.04,4.67,124.87,8.64, 170.12 ,10.52, 14.34 ,,,,,,,,,,,,,,
1875.12,4.37,0.30,0.36,10.94,4.63,125.95,8.65, 172.58 ,10.38, 14.22 ,,,,,,,,,,,,,,
1876.01,4.46,0.30,0.35,10.85,4.59,129.67,8.72, 178.68 ,10.27, 14.15 ,,,,,,,,,,,,,,
1876.02,4.52,0.30,0.35,10.85,4.58,131.42,8.72, 182.08 ,10.08, 13.97 ,,,,,,,,,,,,,,
1876.03,4.51,0.30,0.34,10.85,4.57,131.13,8.72, 182.69 ,9.89, 13.77 ,,,,,,,,,,,,,,
1876.04,4.34,0.30,0.33,10.75,4.56,127.30,8.80, 178.38 ,9.78, 13.70 ,,,,,,,,,,,,,,
1876.05,4.18,0.30,0.33,10.37,4.54,127.11,9.12, 179.17 ,9.93, 14.00 ,,,,,,,,,,,,,,
1876.06,4.15,0.30,0.32,10.09,4.53,129.77,9.38, 184.02 ,10.01, 14.19 ,,,,,,,,,,,,,,
1876.07,4.10,0.30,0.31,10.09,4.52,128.20,9.38, 182.91 ,9.80, 13.98 ,,,,,,,,,,,,,,
1876.08,3.93,0.30,0.31,10.18,4.51,121.74,9.29, 174.80 ,9.50, 13.64 ,,,,,,,,,,,,,,
1876.09,3.69,0.30,0.30,10.28,4.50,113.25,9.21, 163.70 ,9.21, 13.31 ,,,,,,,,,,,,,,
1876.1,3.67,0.30,0.29,10.47,4.49,110.59,9.04, 160.95 ,8.84, 12.86 ,,,,,,,,,,,,,,
1876.11,3.60,0.30,0.29,10.56,4.47,107.50,8.96, 157.54 ,8.56, 12.55 ,,,,,,,,,,,,,,
1876.12,3.58,0.30,0.28,10.75,4.46,105.01,8.80, 154.97 ,8.21, 12.12 ,,,,,,,,,,,,,,
1877.01,3.55,0.29,0.28,10.94,4.45,102.32,8.38, 152.03 ,8.12, 12.06 ,,,,,,,,,,,,,,
1877.02,3.34,0.28,0.28,10.66,4.44,98.84,8.34, 147.90 ,8.38, 12.54 ,,,,,,,,,,,,,,
1877.03,3.17,0.27,0.29,10.18,4.43,98.20,8.44, 147.98 ,8.83, 13.30 ,,,,,,,,,,,,,,
1877.04,2.94,0.26,0.29,10.47,4.42,88.59,7.93, 134.50 ,8.64, 13.12 ,,,,,,,,,,,,,,
1877.05,2.94,0.25,0.29,10.66,4.41,87.01,7.52, 133.05 ,8.53, 13.05 ,,,,,,,,,,,,,,
1877.06,2.73,0.25,0.29,10.09,4.40,85.37,7.66, 131.51 ,9.07, 13.97 ,,,,,,,,,,,,,,
