Date,SPComp,Dividends,Earnings,CPI,GS10,RealPrice,RealDividend,RealTotReturnPrice,RealEarnings,CAPE,TR_CAPE,XS_Cape_yld
1871.01,4.44,0.26,0.4,12.46406116,5.32,112.3405503,6.578500695,112.3405503,10.1207703,NaN,NaN,NaN
1871.02,4.5,0.26,0.4,12.84464132,5.323333333,110.4850918,6.38358308,111.017057,9.820897046,NaN,NaN,NaN
1871.03,4.61,0.26,0.4,13.0349719,5.326666667,111.5331516,6.290372977,112.5968848,9.677496888,NaN,NaN,NaN
1871.04,4.74,0.26,0.4,12.55922645,5.33,119.0223714,6.528653283,120.7067753,10.04408197,NaN,NaN,NaN
1871.05,4.86,0.26,0.4,12.27381157,5.333333333,124.8734084,6.680470409,127.2052005,10.27764678,NaN,NaN,NaN
1871.06,4.82,0.26,0.4,12.08348099,5.336666667,125.7963741,6.785696528,128.7214349,10.43953312,NaN,NaN,NaN
1871.07,4.73,0.26,0.4,12.08348099,5.34,123.4474791,6.785696528,126.896546,10.43953312,NaN,NaN,NaN
1871.08,4.79,0.26,0.4,11.8932314,5.343333333,127.013181,6.894243645,131.1524441,10.60652868,NaN,NaN,NaN
1871.09,4.84,0.26,0.4,12.17864628,5.346666667,125.3312852,6.732672344,129.995077,10.35795745,NaN,NaN,NaN
1871.1,4.59,0.26,0.4,12.36889587,5.35,117.029379,6.62911515,121.9572256,10.19863869,NaN,NaN,NaN
1871.11,4.64,0.26,0.4,12.36889587,5.353333333,118.3042088,6.62911515,123.8614234,10.19863869,NaN,NaN,NaN
1871.12,4.74,0.26,0.4,12.65439174,5.356666667,118.1272831,6.479555611,124.2415139,9.968547094,NaN,NaN,NaN
1872.01,4.86,0.2633,0.4025,12.65439174,5.36,121.1178472,6.561796124,127.9619881,10.03085051,NaN,NaN,NaN
1872.02,4.88,0.2667,0.405,12.65439174,5.378333333,121.6162745,6.646528775,129.0737566,10.09315393,NaN,NaN,NaN
1872.03,5.04,0.27,0.4075,12.84464132,5.396666667,123.7433028,6.629105506,131.9175138,10.00503887,NaN,NaN,NaN
1872.04,5.18,0.2733,0.41,13.13013719,5.415,124.4152579,6.564225867,133.2170105,9.847539719,NaN,NaN,NaN
1872.05,5.18,0.2767,0.4125,13.13013719,5.433333333,124.4152579,6.645888391,133.8100147,9.907585693,NaN,NaN,NaN
1872.06,5.13,0.28,0.415,13.0349719,5.451666667,124.1138976,6.774247822,134.0930466,10.04040302,NaN,NaN,NaN
1872.07,5.1,0.2833,0.4175,12.84464132,5.47,125.2164373,6.955650333,135.9104763,10.25056129,NaN,NaN,NaN
1872.08,5.04,0.2867,0.42,12.93980661,5.488333333,122.8332376,6.987358973,133.9557499,10.23610313,NaN,NaN,NaN
1872.09,4.95,0.29,0.4225,13.0349719,5.506666667,119.759024,7.016185244,131.2407921,10.22185609,NaN,NaN,NaN
1872.1,4.97,0.2933,0.425,12.74947603,5.525,122.9354684,7.254924121,135.3843149,10.51259036,NaN,NaN,NaN
1872.11,4.95,0.2967,0.4275,13.13013719,5.543333333,118.8910283,7.126256182,131.584312,10.26786154,NaN,NaN,NaN
1872.12,5.07,0.3,0.43,12.93980661,5.561666667,123.5643878,7.311502239,137.4309604,10.47981988,NaN,NaN,NaN
1873.01,5.11,0.3025,0.4325,12.93980661,5.58,124.5392548,7.372431424,139.198543,10.54074906,NaN,NaN,NaN
1873.02,5.15,0.305,0.435,13.22522149,5.570833333,122.8053885,7.272940481,137.9380052,10.37288233,NaN,NaN,NaN
1873.03,5.11,0.3075,0.4375,13.22522149,5.561666667,121.8515602,7.332554748,137.5529841,10.43249659,NaN,NaN,NaN
1873.04,5.04,0.31,0.44,13.22522149,5.5525,120.1823607,7.392169014,136.3640884,10.49211086,NaN,NaN,NaN
1873.05,5.05,0.3125,0.4425,12.93980661,5.543333333,123.0769544,7.616148166,140.3685533,10.7844658,NaN,NaN,NaN
1873.06,4.98,0.315,0.445,12.55922645,5.534166667,125.0488206,7.909714555,143.3692039,11.1740412,NaN,NaN,NaN
1873.07,4.97,0.3175,0.4475,12.55922645,5.525,124.7977185,7.972490067,143.8430228,11.23681671,NaN,NaN,NaN
1873.08,4.97,0.32,0.45,12.55922645,5.515833333,124.7977185,8.03526558,144.6148164,11.29959222,NaN,NaN,NaN
1873.09,4.59,0.3225,0.4525,12.55922645,5.506666667,115.2558407,8.098041092,134.3397446,11.36236773,NaN,NaN,NaN
1873.1,4.19,0.325,0.455,12.27381157,5.4975,107.6583501,8.350588011,126.2953775,11.69082322,NaN,NaN,NaN
1873.11,4.04,0.3275,0.4575,11.8932314,5.488333333,107.1259397,8.684095361,126.519752,12.13121718,NaN,NaN,NaN
1873.12,4.42,0.33,0.46,12.17864628,5.479166667,114.4554299,8.545314898,136.0171828,11.91165107,NaN,NaN,NaN
1874.01,4.66,0.33,0.46,12.36889587,5.47,118.8141408,8.413876921,142.0302562,11.7284345,NaN,NaN,NaN
1874.02,4.8,0.33,0.46,12.36889587,5.436666667,122.3836643,8.413876921,147.135421,11.7284345,NaN,NaN,NaN
1874.03,4.73,0.33,0.46,12.36889587,5.403333333,120.5989025,8.413876921,145.8326595,11.7284345,NaN,NaN,NaN
1874.04,4.6,0.33,0.46,12.17864628,5.37,119.1165107,8.545314898,144.9012056,11.91165107,NaN,NaN,NaN
1874.05,4.48,0.33,0.46,12.08348099,5.336666667,116.9227709,8.612614824,143.105675,12.00546309,NaN,NaN,NaN
1874.06,4.46,0.33,0.46,11.79806612,5.303333333,119.2167234,8.820968322,146.8130095,12.29589524,NaN,NaN,NaN
1874.07,4.46,0.33,0.46,11.8932314,5.27,118.2627948,8.750386165,146.5362594,12.19750799,NaN,NaN,NaN
1874.08,4.47,0.33,0.46,11.79806612,5.236666667,119.4840254,8.820968322,148.9602723,12.29589524,NaN,NaN,NaN
